Année;Numéro;Département;Code INSEE;Nom de la commune;Date de première alerte;Surface parcourue (m2);Surface forêt (m2);Surface maquis garrigues (m2);Autres surfaces naturelles hors forêt (m2);Surfaces agricoles (m2);Autres surfaces (m2);Surface autres terres boisées (m2);Surfaces non boisées naturelles (m2);Surfaces non boisées artificialisées (m2);Surfaces non boisées (m2);Précision des surfaces;Type de peuplement;Nature;Décès ou bâtiments touchés;Nombre de décès;Nombre de bâtiments totalement détruits;Nombre de bâtiments partiellement détruits;Précision de la donnée
2024;26849;33;33519;Le Taillan-Médoc;2024-04-20 16:28:45;15000;15000;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26705;33;33480;Saint-Sulpice-de-Faleyrens;2024-04-22 18:42:47;50;50;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26712;33;33466;Saint-Quentin-de-Baron;2024-05-30 17:48:24;1;1;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26715;33;33239;Lerm-et-Musset;2024-06-05 11:29:34;200;200;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26850;33;33540;Vendays-Montalivet;2024-06-13 06:24:00;15000;15000;;0.0;0.0;0.0;;;;;Estimées;;Involontaire (particulier);Non;;;;
2024;26725;33;33449;Saint-Médard-en-Jalles;2024-07-16 19:33:00;80;80;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26727;33;33449;Saint-Médard-en-Jalles;2024-07-29 18:31:00;5;5;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26728;33;33003;Ambarès-et-Lagrave;2024-08-01 17:09:00;1000;1000;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26732;33;33039;Bégadan;2024-08-05 16:11:00;3000;3000;;0.0;0.0;0.0;;;;;Estimées;;Involontaire (particulier);Non;0.0;0.0;0.0;
2024;26851;33;33200;Hourtin;2024-08-07 16:32:00;50;50;;0.0;0.0;0.0;;;;;Estimées;;;Non;;;;
2024;26735;33;33522;Talence;2024-08-11 15:37:00;2000;2000;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26738;33;33162;Eysines;2024-08-11 18:03:00;300;300;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26739;33;33032;Bassens;2024-08-11 20:56:00;3000;3000;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26740;33;33056;Blanquefort;2024-08-12 18:49:00;4000;4000;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26741;33;33519;Le Taillan-Médoc;2024-08-14 18:25:00;500;500;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26742;33;33318;Pessac;2024-08-23 18:46:00;20;20;;0.0;0.0;0.0;;;;;Estimées;;Involontaire (particulier);Non;0.0;0.0;0.0;
2024;26743;33;33529;Tresses;2024-08-25 15:39:00;1000;1000;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26744;33;33281;Mérignac;2024-08-25 18:58:00;2000;2000;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26745;33;33318;Pessac;2024-09-02 20:30:00;300;300;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26746;33;33281;Mérignac;2024-09-04 18:37:00;20;20;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26747;33;33519;Le Taillan-Médoc;2024-09-04 19:40:00;400;400;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26749;33;33003;Ambarès-et-Lagrave;2024-09-06 14:38:00;3000;3000;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26748;33;33249;Lormont;2024-09-06 14:55:00;50;50;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26750;33;33249;Lormont;2024-09-06 17:58:00;50;50;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26751;33;33003;Ambarès-et-Lagrave;2024-09-08 17:50:00;400;400;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26752;33;33281;Mérignac;2024-09-17 19:15:00;1000;1000;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26753;33;33318;Pessac;2024-09-18 19:20:00;200;200;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26755;33;33522;Talence;2024-10-15 16:35:00;10;10;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;
2024;26756;33;33069;Bordeaux;2024-10-15 17:21:00;3000;3000;;0.0;0.0;0.0;;;;;Estimées;;;Non;0.0;0.0;0.0;